GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ArenaServerJava,com.arena.utils.logger,Logger,7,147,1,3,2,36,3,14,2,13
ArenaServerJava,com.arena.utils.logger,LogWriter,21,63,4,4,8,17,4,3,1,2
ArenaServerJava,com.arena.game.entity,EntityPositions,3,507,0,0,1,37,1,1,1,1
ArenaServerJava,com.arena.game.entity,EntityTransform,8,15,1,1,2,6,2,2,1,2
ArenaServerJava,com.arena.game.entity,LivingEntity,86,246,17,20,19,75,20,32,8,25
ArenaServerJava,com.arena.game.entity,LivingEntityCast,32,88,0,0,12,38,12,25,12,25
ArenaServerJava,com.arena.game.entity,Entity,0,21,0,0,0,6,0,3,0,3
ArenaServerJava,com.arena.game.entity,EntityRigidbody,3,10,0,0,1,5,1,2,1,2
ArenaServerJava,com.arena.game.entity,LivingEntityLock,23,47,1,1,8,17,5,10,4,10
ArenaServerJava,com.arena.game.entity,LivingEntityPos,0,73,0,0,0,21,0,16,0,16
ArenaServerJava,com.arena.game.entity,EntityCollider,3,10,0,0,1,5,1,2,1,2
ArenaServerJava,com.arena.game.entity,LivingEntitySkin,54,48,0,0,22,16,22,12,22,12
ArenaServerJava,com.arena.game.entity,EntityNavMeshAgent,3,10,0,0,1,5,1,2,1,2
ArenaServerJava,com.arena.game.utils,Position,6,14,0,0,1,4,1,1,1,1
ArenaServerJava,com.arena.game.utils,EntityInit,0,47,0,0,0,18,0,6,0,6
ArenaServerJava,com.arena.game.entity.champion,Garen,82,279,6,4,21,73,8,22,3,22
ArenaServerJava,com.arena.game.entity.champion,Champion,0,51,0,0,0,14,0,5,0,5
ArenaServerJava,com.arena.game.zone,ZoneRectangle,71,0,6,0,12,0,5,0,2,0
ArenaServerJava,com.arena.game.zone,ZoneCone,2,175,2,4,0,38,2,3,0,2
ArenaServerJava,com.arena.game.zone,ZoneCircle,0,33,0,2,0,6,0,3,0,2
ArenaServerJava,com.arena.utils.json,JsonService,4,17,0,0,1,6,1,5,1,5
ArenaServerJava,com.arena.utils.json,GsonWorker,41,92,4,6,15,24,5,5,1,4
ArenaServerJava,com.arena.player,ActionEnum,3,81,0,0,1,14,1,2,1,2
ArenaServerJava,com.arena.player,ResponseEnum,3,88,0,0,1,15,1,2,1,2
ArenaServerJava,com.arena.player,Player,3,9,0,0,0,2,1,2,1,2
ArenaServerJava,com.arena.server,Server,25,470,6,26,7,125,6,32,0,21
ArenaServerJava,com.arena.server,ServerManager,3,0,0,0,1,0,1,0,1,0
ArenaServerJava,com.arena.network.response,ResponseService,14,29,3,3,5,11,5,4,2,4
ArenaServerJava,com.arena.network.response,Response,14,93,0,0,6,36,3,19,3,19
ArenaServerJava,com.arena.game.core,Core,28,240,3,21,4,65,3,15,0,6
ArenaServerJava,com.arena,Main,7,26,1,1,3,11,2,1,1,1
ArenaServerJava,com.arena.game.handler,PlayerStateUpdateHandler,32,31,3,3,8,11,3,2,0,2
ArenaServerJava,com.arena.game.handler,CastWHandler,0,74,7,7,0,18,7,3,0,3
ArenaServerJava,com.arena.game.handler,CastQHandler,6,86,6,8,1,20,6,4,0,3
ArenaServerJava,com.arena.game.handler,HandlersCast,3,19,0,0,1,1,1,1,1,1
ArenaServerJava,com.arena.game.handler,CloseGameHandler,0,10,0,0,0,4,0,2,0,2
ArenaServerJava,com.arena.game.handler,CastEHandler,0,72,6,6,0,17,6,3,0,3
ArenaServerJava,com.arena.game.handler,JoinHandler,40,174,5,7,8,40,4,5,0,3
ArenaServerJava,com.arena.game.handler,CastRHandler,0,74,7,7,0,18,7,3,0,3
ArenaServerJava,com.arena.game.handler,CreateGameHandler,0,10,0,0,0,4,0,2,0,2
ArenaServerJava,com.arena.game.handler,HandlersGame,3,19,0,0,1,1,1,1,1,1
ArenaServerJava,com.arena.utils,Vector2f,6,90,0,0,1,12,1,6,1,6
ArenaServerJava,com.arena.utils,TimeUtil,6,43,2,2,2,9,3,2,1,2
ArenaServerJava,com.arena.utils,Vector3f,8,12,0,0,1,5,1,1,1,1
ArenaServerJava,com.arena.game,GameNameEnum,0,56,0,0,0,11,0,3,0,3
ArenaServerJava,com.arena.game,GameManager,6,0,0,0,2,0,1,0,1,0
ArenaServerJava,com.arena.game,Game,82,343,13,21,16,87,15,32,4,25
ArenaServerJava,com.arena.network,JavaWebSocket,87,128,10,6,20,35,8,8,2,6
ArenaServerJava,com.arena.network,JavaWebSocketResponseSender,9,148,4,22,4,37,4,15,0,6
ArenaServerJava,com.arena.network.message,Message,0,50,0,0,0,18,0,13,0,13
ArenaServerJava,com.arena.game.entity.building,Tower,12,100,2,2,4,27,2,2,0,2
ArenaServerJava,com.arena.game.entity.building,TowerDead,0,43,0,0,0,10,0,1,0,1
ArenaServerJava,com.arena.game.entity.building,Nexus,26,134,2,2,5,37,4,9,2,9
ArenaServerJava,com.arena.game.entity.building,Building,0,51,0,0,0,14,0,5,0,5
ArenaServerJava,com.arena.game.entity.building,Inhibitor,18,128,0,0,2,35,2,9,2,9
